tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
9606	Homo sapiens	6462	0	live	SHBG	ABP, SBP, TEBG	sex hormone binding globulin	sex hormone-binding globulin|sex steroid-binding protein|testis-specific androgen-binding protein|testosterone-binding beta-globulin|testosterone-estradiol-binding globulin|testosterone-estrogen-binding globulin	17p13.1	17	NC_000017.11	7614064	7633372	plus	10	182205	
9606	Homo sapiens	3293	0	live	HSD17B3	EDH17B3, SDR12C2	hydroxysteroid 17-beta dehydrogenase 3	17-beta-hydroxysteroid dehydrogenase type 3|17-beta-HSD 3|17-beta-HSD3|estradiol 17-beta-dehydrogenase 2|hydroxysteroid dehydrogenase 3|short chain dehydrogenase/reductase family 12C member 2|testicular 17-beta-hydroxysteroid dehydrogenase|testosterone 17-beta-dehydrogenase 3	9q22.32	9	NC_000009.12	96235306	96302176	minus	11	605573	
9606	Homo sapiens	8644	0	live	AKR1C3	DD3, DDX, HA1753, HAKRB, HAKRe, HSD17B5, PGFS, hluPGFS	aldo-keto reductase family 1 member C3	aldo-keto reductase family 1 member C3|3-alpha hydroxysteroid dehydrogenase, type II|3-alpha-HSD type II, brain|chlordecone reductase homolog HAKRb|dihydrodiol dehydrogenase 3|dihydrodiol dehydrogenase X|indanol dehydrogenase|prostaglandin F synthase|testosterone 17-beta-dehydrogenase 5|trans-1,2-dihydrobenzene-1,2-diol dehydrogenase|type IIb 3-alpha hydroxysteroid dehydrogenase	10p15.1	10	NC_000010.11	5048781	5107686	plus	10	603966	
10116	Rattus norvegicus	117182	0	live	Hsd17b3		hydroxysteroid (17-beta) dehydrogenase 3	17-beta-hydroxysteroid dehydrogenase type 3|17-beta-HSD 3|17beta-HSD|estradiol 17 beta-dehydrogenase 3|estradiol 17-beta-dehydrogenase 2|testicular 17-beta-hydroxysteroid dehydrogenase|testosterone 17-beta-dehydrogenase 3	17p14	17	NC_051352.1	1027229	1058554	plus	11		
9606	Homo sapiens	1191	0	live	CLU	AAG4, APO-J, APOJ, CLI1, CLU2, KUB1, NA1/NA2, SGP-2, SGP2, SP-40, TRPM-2, TRPM2, CLU	clusterin	clusterin|aging-associated protein 4|apolipoprotein J|complement cytolysis inhibitor|complement lysis inhibitor|complement-associated protein SP-40,40|epididymis secretory sperm binding protein|ku70-binding protein 1|sulfated glycoprotein 2|testosterone-repressed prostate message 2	8p21.1	8	NC_000008.11	27596917	27614700	minus	11	185430	
9606	Homo sapiens	3294	0	live	HSD17B2	EDH17B2, HSD17, SDR9C2	hydroxysteroid 17-beta dehydrogenase 2	17-beta-hydroxysteroid dehydrogenase type 2|17-beta-HSD 2|20 alpha-hydroxysteroid dehydrogenase|20-alpha-HSD|E2DH|estradiol 17-beta-dehydrogenase 2|microsomal 17-beta-hydroxysteroid dehydrogenase|short chain dehydrogenase/reductase family 9C member 2|testosterone 17-beta-dehydrogenase	16q23.3	16	NC_000016.10	82035253	82098534	plus	6	109685	
10090	Mus musculus	15487	0	live	Hsd17b3		hydroxysteroid (17-beta) dehydrogenase 3	17-beta-hydroxysteroid dehydrogenase type 3|17(beta)HSD type 3|17-beta-HSD 3|estradiol 17-beta-dehydrogenase 2|testicular 17-beta-hydroxysteroid dehydrogenase|testosterone 17-beta-dehydrogenase 3	13 B3	13	NC_000079.7	64206088	64237076	minus	12		
10090	Mus musculus	13088	0	live	Cyp2b10	Cyp2b, Cyp2b20, p16	cytochrome P450, family 2, subfamily b, polypeptide 10	cytochrome P450 2B10|CYPIIB10|CYPIIB20|P24|cytochrome P450 2B20|cytochrome P450 clone PF3/46|cytochrome P450, 2b10, phenobarbitol inducible, type b|cytochrome P450, 2b20|cytochrome P450, family 2, subfamily b, polypeptide 20|cytochrome P450-16-alpha|phenobarbitol inducible, type b|testosterone 16-alpha hydroxylase	7 14.11 cM	7	NC_000073.7	25597083	25626049	plus	9		
10090	Mus musculus	12759	0	live	Clu	ApoJ, Cli, D14Ucla3, SP-40, Sgp-2, Sgp2, Sugp-2	clusterin	clusterin|Apolipoprotein J|clustrin|complement lysis inhibitor|sulfated glycoprotein 2|testosterone repressed prostate message|testosterone repressed prostate message-2	14 34.36 cM	14	NC_000080.7	66205932	66218997	plus	11		
10116	Rattus norvegicus	24854	0	live	Clu	APOJ, CLI, DAG, RATTRPM2B, SGP-2, SGP2, SP-40, SP40, TRPM-2, TRPM2B, Trpm2, Trpmb	clusterin	clusterin|dimeric acid glycoprotein|sulfated glycoprotein 2|testosterone repressed prostate message 2|testosterone-repressed prostate message|testostrone-repressed prostate message 2	15p12	15	NC_051350.1	40161068	40200315	plus	11		
