tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
9606	Homo sapiens	1493	0	live	CTLA4	ALPS5, CD, CD152, CELIAC3, CTLA-4, GRD4, GSE, IDDM12	cytotoxic T-lymphocyte associated protein 4	cytotoxic T-lymphocyte protein 4|celiac disease 3|cytotoxic T lymphocyte associated antigen 4 short spliced form|cytotoxic T-lymphocyte-associated serine esterase-4|gluten-sensitive enteropathy|insulin-dependent diabetes mellitus 12|ligand and transmembrane spliced cytotoxic T lymphocyte associated antigen 4	2q33.2	2	NC_000002.12	203867771	203873965	plus	4	123890	
9606	Homo sapiens	3119	0	live	HLA-DQB1	CELIAC1, HLA-DQB, IDDM1	major histocompatibility complex, class II, DQ beta 1	HLA class II histocompatibility antigen, DQ beta 1 chain|MHC class II DQ beta chain|MHC class II HLA-DQ beta glycoprotein|MHC class II antigen DQB1|MHC class II antigen HLA-DQ-beta-1	6p21.32	6	NC_000006.12	32659467	32666657	minus	6	604305	
9606	Homo sapiens	3117	0	live	HLA-DQA1	CELIAC1, DQ-A1, DQA1, HLA-DQA*, HLA-DQB1, HLA-DQA1	major histocompatibility complex, class II, DQ alpha 1	HLA class II histocompatibility antigen, DQ alpha 1 chain|DC-1 alpha chain|DC-alpha|HLA class II histocompatibility antigen DQ alpha chain|HLA-DCA|MHC HLA-DQ alpha|MHC class II DQ alpha chain|MHC class II DQA1|MHC class II HLA-DQ-alpha-1|MHC class II antigen DQA1|MHC class II protein	6p21.32	6	NC_000006.12	32637406	32655272	plus	6	146880	
9606	Homo sapiens	117289	0	live	TAGAP	ARHGAP47, FKSG15, IDDM211, TAGAP	T cell activation RhoGTPase activating protein	T-cell activation Rho GTPase-activating protein	6q25.3	6	NC_000006.12	159034481	159044991	minus	10	609667	
9606	Homo sapiens	3592	0	live	IL12A	CLMF, IL-12A, NFSK, NKSF1, P35	interleukin 12A	interleukin-12 subunit alpha|CLMF p35|IL-12, subunit p35|IL35 subunit|NF cell stimulatory factor chain 1|NK cell stimulatory factor chain 1|cytotoxic lymphocyte maturation factor 1, p35|cytotoxic lymphocyte maturation factor 35 kDa subunit|interleukin 12, p35|interleukin 12A (natural killer cell stimulatory factor 1, cytotoxic lymphocyte maturation factor 1, p35)|interleukin-12 alpha chain	3q25.33	3	NC_000003.12	159988835	159996019	plus	7	161560	
9606	Homo sapiens	3123	0	live	HLA-DRB1	DRB1, HLA-DR1B, HLA-DRB, SS1	major histocompatibility complex, class II, DR beta 1	major histocompatibility complex, class II, DR beta 1 precursor|HLA class II histocompatibility antigen, DR-1 beta chain|MHC class II HLA-DR beta 1 chain|human leucocyte antigen DRB1|lymphocyte antigen DRB1	6p21.32	6	NC_000006.12	32578775	32589848	minus	6	142857	
9606	Homo sapiens	23274	0	live	CLEC16A	Gop-1, KIAA0350	C-type lectin domain containing 16A	protein CLEC16A|C-type lectin domain family 16 member A	16p13.13	16	NC_000016.10	10944564	11182186	plus	33	611303	
9606	Homo sapiens	3558	0	live	IL2	IL-2, TCGF, lymphokine	interleukin 2	interleukin-2|T cell growth factor|aldesleukin|involved in regulation of T-cell clonal expansion	4q27	4	NC_000004.12	122451470	122456725	minus	4	147680	
9606	Homo sapiens	3559	0	live	IL2RA	CD25, IDDM10, IL2R, IMD41, TCGFR, p55	interleukin 2 receptor subunit alpha	interleukin-2 receptor subunit alpha|IL-2 receptor subunit alpha|IL-2R subunit alpha|TAC antigen|interleukin 2 receptor, alpha	10p15.1	10	NC_000010.11	6010689	6062367	minus	8	147730	
9606	Homo sapiens	59067	0	live	IL21	CVID11, IL-21, Za11	interleukin 21	interleukin-21	4q27	4	NC_000004.12	122610108	122621066	minus	5	605384	
